
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-09-22 19:38:08 /login ..................................... ~ 500.46ms
  2026-09-22 19:39:11 /login ....................................... ~ 0.13ms
  2026-09-22 19:39:12 /login ....................................... ~ 0.14ms
  2026-09-22 19:39:13 /login ....................................... ~ 0.03ms
  2026-09-22 19:40:38 /login ....................................... ~ 0.20ms
  2026-09-22 19:40:39 /login ..................................... ~ 500.50ms
  2026-09-22 19:40:39 /login ....................................... ~ 0.05ms
  2026-09-22 19:40:41 /transactions/create ......................... ~ 0.11ms
  2026-09-22 19:40:41 /login ....................................... ~ 0.11ms
  2026-09-22 19:40:43 /admin/form-builder .......................... ~ 0.10ms
  2026-09-22 19:40:43 /login ....................................... ~ 0.03ms
  2026-09-22 19:40:45 /transactions ................................ ~ 0.10ms
  2026-09-22 19:40:45 /login ....................................... ~ 0.04ms
  2026-09-22 19:42:19 /login ....................................... ~ 0.12ms
  2026-09-22 19:42:20 /login ..................................... ~ 500.44ms
  2026-09-22 19:42:20 / ............................................ ~ 0.05ms
  2026-09-22 19:42:22 /transactions/create ......................... ~ 0.40ms
  2026-09-22 19:42:25 /admin/form-builder .......................... ~ 0.31ms
  2026-09-22 19:42:27 /transactions ................................ ~ 0.25ms
